importer_iso,partner_iso,import_share
ARE,ARG,0.0020063803572580086
ARE,AUS,0.017843387471784624
ARE,BEL,0.01958947479228244
ARE,BRA,0.012483687532672337
ARE,CAN,0.009528043850233503
ARE,CHE,0.03416835245817948
ARE,CHN,0.15977054594287865
ARE,DEU,0.06995696883534214
ARE,EGY,0.006916705615014397
ARE,ESP,0.011289619444691054
ARE,FRA,0.040237287267605414
ARE,GBR,0.05177414791615492
ARE,IDN,0.013005528327608875
ARE,IND,0.12628422690941554
ARE,ITA,0.042495656674182015
ARE,JPN,0.07565387193893434
ARE,KOR,0.03554279830253868
ARE,MEX,0.004489100099912725
ARE,MYS,0.020127659840641576
ARE,NLD,0.01242662878255438
ARE,POL,0.003739609998063827
ARE,RUS,0.010181922698830111
ARE,SAU,0.03494538535449979
ARE,SWE,0.006985400388404567
ARE,THA,0.01858420928479075
ARE,TUR,0.02881817015190037
ARE,USA,0.10362473951832392
ARE,VNM,0.015282744922695454
ARE,ZAF,0.012247745322606099
ARG,ARE,0.001972661663253754
ARG,AUS,0.005322544679650306
ARG,BEL,0.008458120548313797
ARG,BRA,0.31895628303774703
ARG,CAN,0.008282053068242761
ARG,CHE,0.010552403650192868
ARG,CHN,0.1700390754261228
ARG,DEU,0.05838889897041051
ARG,EGY,0.0019274603339950287
ARG,ESP,0.02467335143773926
ARG,FRA,0.02709254902903533
ARG,GBR,0.01269753956740151
ARG,IDN,0.0060239438602120166
ARG,IND,0.014820601509353399
ARG,ITA,0.030219347521252375
ARG,JPN,0.026853452849793256
ARG,KOR,0.015783720130131754
ARG,MEX,0.03163958458586559
ARG,MYS,0.006879901838012264
ARG,NLD,0.010055235446169862
ARG,POL,0.0031757881983446863
ARG,RUS,0.009720125675948297
ARG,SAU,0.00225527867712854
ARG,SWE,0.006791603648236194
ARG,THA,0.017566817902081477
ARG,TUR,0.003764365556170566
ARG,USA,0.15492541351314099
ARG,VNM,0.007701591116464609
ARG,ZAF,0.003748643772888254
AUS,ARE,0.01042113428971015
AUS,ARG,0.002601342087118421
AUS,BEL,0.009302881833765984
AUS,BRA,0.004528815690488385
AUS,CAN,0.012752803769270618
AUS,CHE,0.01335854557542564
AUS,CHN,0.24192562687834865
AUS,DEU,0.06139596884573557
AUS,EGY,0.000212726962975148
AUS,ESP,0.010429759361163467
AUS,FRA,0.025253632548408893
AUS,GBR,0.03887591736866437
AUS,IDN,0.027642625499517737
AUS,IND,0.0170159575113284
AUS,ITA,0.03086726089275765
AUS,JPN,0.10666863103058127
AUS,KOR,0.05227151184507405
AUS,MEX,0.009802168285653041
AUS,MYS,0.04769790501002472
AUS,NLD,0.010313627281138169
AUS,POL,0.0032292175331751567
AUS,RUS,0.0018244620687072493
AUS,SAU,0.005262840778121424
AUS,SWE,0.012159287692713601
AUS,THA,0.05171868296079117
AUS,TUR,0.003352820853136958
AUS,USA,0.15781900423636402
AUS,VNM,0.024473638946666938
AUS,ZAF,0.006821202363173137
BEL,ARE,0.006351862444172203
BEL,ARG,0.0012135106769464816
BEL,AUS,0.003516664851954098
BEL,BRA,0.00738797915086871
BEL,CAN,0.007894162740301374
BEL,CHE,0.01640562350589913
BEL,CHN,0.03619061156332893
BEL,DEU,0.18620584304765847
BEL,EGY,0.0008105139856124384
BEL,ESP,0.025168068571788126
BEL,FRA,0.13812046303442146
BEL,GBR,0.06609122847294864
BEL,IDN,0.003181599182300254
BEL,IND,0.013115581749553455
BEL,ITA,0.04473658231810326
BEL,JPN,0.031001738404376405
BEL,KOR,0.006797618750838851
BEL,MEX,0.0058356701461659425
BEL,MYS,0.0029528629726159102
BEL,NLD,0.24315158471131487
BEL,POL,0.014039942139801856
BEL,RUS,0.022009076962672815
BEL,SAU,0.003456834851584734
BEL,SWE,0.02411479199881162
BEL,THA,0.004736573869093209
BEL,TUR,0.009370411081478194
BEL,USA,0.06635495908995993
BEL,VNM,0.0025648823085661636
BEL,ZAF,0.007222757416862424
BRA,ARE,0.0033102537104063
BRA,ARG,0.0923834586697526
BRA,AUS,0.008329858445756745
BRA,BEL,0.012202034971197569
BRA,CAN,0.018367757556509684
BRA,CHE,0.017317178224256505
BRA,CHN,0.1818427567099252
BRA,DEU,0.08385505595745832
BRA,EGY,0.0016805821967257077
BRA,ESP,0.021523381914845582
BRA,FRA,0.03528603086638271
BRA,GBR,0.020586900758776675
BRA,IDN,0.009145443434580928
BRA,IND,0.026177087857032568
BRA,ITA,0.035640489109295265
BRA,JPN,0.043344910279901346
BRA,KOR,0.03866930828657789
BRA,MEX,0.025298356495409922
BRA,MYS,0.010488568882385205
BRA,NLD,0.013073892585756936
BRA,POL,0.003687230401202286
BRA,RUS,0.022206409075472895
BRA,SAU,0.01749577894424291
BRA,SWE,0.012002450003544782
BRA,THA,0.010702295163656615
BRA,TUR,0.004136434306979072
BRA,USA,0.21849803140227533
BRA,VNM,0.007978523254106619
BRA,ZAF,0.0047695405355858
CAN,ARE,0.0005603752202614819
CAN,ARG,0.002556529430340214
CAN,AUS,0.004574979257552873
CAN,BEL,0.005564706081202543
CAN,BRA,0.009480790989117376
CAN,CHE,0.008488457447654573
CAN,CHN,0.11310241358500142
CAN,DEU,0.03271668734273419
CAN,EGY,0.0010702650456774958
CAN,ESP,0.004698533443809071
CAN,FRA,0.01436222798924423
CAN,GBR,0.023647170737301406
CAN,IDN,0.0033797587630030926
CAN,IND,0.007537882885191033
CAN,ITA,0.015190567772938209
CAN,JPN,0.03628733422933843
CAN,KOR,0.01783229363499478
CAN,MEX,0.05683796672798317
CAN,MYS,0.00637735797736402
CAN,NLD,0.006343575327488077
CAN,POL,0.0029525801607423355
CAN,RUS,0.0026811974752029124
CAN,SAU,0.004627866548026478
CAN,SWE,0.005370688003513504
CAN,THA,0.006620564042831499
CAN,TUR,0.002840099417608898
CAN,USA,0.5938486093864014
CAN,VNM,0.008082708645311003
CAN,ZAF,0.002365812432164339
CHE,ARE,0.030277165031800096
CHE,ARG,0.0036415658204247974
CHE,AUS,0.0058613692115535194
CHE,BEL,0.02751630344619247
CHE,BRA,0.006596035777673179
CHE,CAN,0.011968541903371046
CHE,CHN,0.048470289427119916
CHE,DEU,0.2978064166889751
CHE,EGY,0.0013657531494683608
CHE,ESP,0.02649934402796376
CHE,FRA,0.09379535368296427
CHE,GBR,0.07903994722447381
CHE,IDN,0.004500143930233584
CHE,IND,0.007079814149234396
CHE,ITA,0.10750975207552146
CHE,JPN,0.02329036833835465
CHE,KOR,0.005271765881101056
CHE,MEX,0.004924301963623994
CHE,MYS,0.003180100477705513
CHE,NLD,0.037133995074702913
CHE,POL,0.008500512493888127
CHE,RUS,0.013963646499902579
CHE,SAU,0.0024422962089842336
CHE,SWE,0.009184455001699045
CHE,THA,0.012787997154729374
CHE,TUR,0.009677697623783796
CHE,USA,0.10048115341011064
CHE,VNM,0.006205763002211067
CHE,ZAF,0.01102815132223323
CHN,ARE,0.009335977929630888
CHN,ARG,0.006217686087697548
CHN,AUS,0.06195363748493051
CHN,BEL,0.007401276710365145
CHN,BRA,0.041179400662950935
CHN,CAN,0.019646226679340736
CHN,CHE,0.020401517374161692
CHN,DEU,0.07579811952886578
CHN,EGY,0.0007612691147726037
CHN,ESP,0.0057247387306462675
CHN,FRA,0.021443771723241314
CHN,GBR,0.014995533284335784
CHN,IDN,0.025461151753465843
CHN,IND,0.015704677167715248
CHN,ITA,0.01654354329665812
CHN,JPN,0.17440960281530338
CHN,KOR,0.14424840630916724
CHN,MEX,0.007806715576839163
CHN,MYS,0.04934988313928681
CHN,NLD,0.00808272945026432
CHN,POL,0.00206181248761224
CHN,RUS,0.040423434751498996
CHN,SAU,0.03113645665473751
CHN,SWE,0.007312389337226375
CHN,THA,0.032692306961050986
CHN,TUR,0.0024090544068493557
CHN,USA,0.11670167146909023
CHN,VNM,0.023311109564929364
CHN,ZAF,0.017485899547365624
DEU,ARE,0.0013298274776761794
DEU,ARG,0.0021830673993322326
DEU,AUS,0.0034941250727151363
DEU,BEL,0.05866444965431662
DEU,BRA,0.011869333585151541
DEU,CAN,0.006831742746348141
DEU,CHE,0.05772189875775161
DEU,CHN,0.12317832878991307
DEU,EGY,0.0016380012314643146
DEU,ESP,0.03987319493579422
DEU,FRA,0.10078953346780041
DEU,GBR,0.06312703564565224
DEU,IDN,0.005569238021262217
DEU,IND,0.010785458184221986
DEU,ITA,0.07819301381553614
DEU,JPN,0.038570188658616764
DEU,KOR,0.015215996264028375
DEU,MEX,0.0073865799961108074
DEU,MYS,0.010059201791274747
DEU,NLD,0.11121437184359227
DEU,POL,0.0578270077902457
DEU,RUS,0.03329938971295318
DEU,SAU,0.0019837651261814223
DEU,SWE,0.02200593536108293
DEU,THA,0.0072388793935926985
DEU,TUR,0.020262594062656385
DEU,USA,0.09177588703433903
DEU,VNM,0.008750447278823629
DEU,ZAF,0.009161506901565994
EGY,ARE,0.020603615895828632
EGY,ARG,0.02399289797297218
EGY,AUS,0.0163317540157721
EGY,BEL,0.01821229796209323
EGY,BRA,0.04335007189025924
EGY,CAN,0.007478037543502906
EGY,CHE,0.014924341823023955
EGY,CHN,0.13509608866374478
EGY,DEU,0.08451360139846001
EGY,ESP,0.02356950483201004
EGY,FRA,0.038454509293917784
EGY,GBR,0.02783161318043451
EGY,IDN,0.017698380903705044
EGY,IND,0.03756492396021855
EGY,ITA,0.06211834911002823
EGY,JPN,0.027914401031819545
EGY,KOR,0.028467550201574855
EGY,MEX,0.0018781767329480983
EGY,MYS,0.012359633267370159
EGY,NLD,0.02167423206191849
EGY,POL,0.005500592027394107
EGY,RUS,0.05607807359783056
EGY,SAU,0.07383757016398915
EGY,SWE,0.015373436337511296
EGY,THA,0.014466335416826468
EGY,TUR,0.04378335014287079
EGY,USA,0.11955340859789525
EGY,VNM,0.005424154907270042
EGY,ZAF,0.00194909706680999
ESP,ARE,0.0015101526541283984
ESP,ARG,0.008174295118122978
ESP,AUS,0.00302644322173963
ESP,BEL,0.03600551913035126
ESP,BRA,0.016892071710294363
ESP,CAN,0.006243473744481398
ESP,CHE,0.017267458526359924
ESP,CHN,0.10076175760632876
ESP,DEU,0.1761015977144051
ESP,EGY,0.005004173145131366
ESP,FRA,0.15942949834338604
ESP,GBR,0.05935245303012997
ESP,IDN,0.009361306532617837
ESP,IND,0.013503240002737345
ESP,ITA,0.09843016701664743
ESP,JPN,0.01999573522045826
ESP,KOR,0.012846901344780988
ESP,MEX,0.01760423440549035
ESP,MYS,0.0041090085860696285
ESP,NLD,0.05726166249730573
ESP,POL,0.01788467443263148
ESP,RUS,0.024120356596080535
ESP,SAU,0.017021341351585194
ESP,SWE,0.014167909469145406
ESP,THA,0.005701702112849342
ESP,TUR,0.02179521772706672
ESP,USA,0.06232440482907609
ESP,VNM,0.00863935618959221
ESP,ZAF,0.0054638877410062864
FRA,ARE,0.0027825428719671285
FRA,ARG,0.0013459856436653524
FRA,AUS,0.0029616470290380562
FRA,BEL,0.09498933948479865
FRA,BRA,0.008326017280077685
FRA,CAN,0.007324594520902112
FRA,CHE,0.031369625735385424
FRA,CHN,0.09788480793781072
FRA,DEU,0.2004687598318657
FRA,EGY,0.0020836862090781874
FRA,ESP,0.0843861203625497
FRA,GBR,0.06145619964331842
FRA,IDN,0.004219385674420182
FRA,IND,0.011206552563569505
FRA,ITA,0.10041372506179314
FRA,JPN,0.026352908039957934
FRA,KOR,0.011287716619464391
FRA,MEX,0.003801251855012284
FRA,MYS,0.005693897113513517
FRA,NLD,0.05620211499258709
FRA,POL,0.019897562939994222
FRA,RUS,0.02262685832823543
FRA,SAU,0.01068434458263172
FRA,SWE,0.014973565327895517
FRA,THA,0.006008037421999674
FRA,TUR,0.015437391943735826
FRA,USA,0.08540457180085664
FRA,VNM,0.007605105113892562
FRA,ZAF,0.0028056840699831765
GBR,ARE,0.0036815792747800706
GBR,ARG,0.001733771796281458
GBR,AUS,0.012663425469232851
GBR,BEL,0.05512210894852207
GBR,BRA,0.00840981253414522
GBR,CAN,0.028361883019926155
GBR,CHE,0.026823874395772364
GBR,CHN,0.11686492990436875
GBR,DEU,0.15957169715105746
GBR,EGY,0.002225226968882673
GBR,ESP,0.03939293086740144
GBR,FRA,0.07959957930499831
GBR,IDN,0.0048192613287982855
GBR,IND,0.017379393232054455
GBR,ITA,0.05101102918699803
GBR,JPN,0.035254558277046835
GBR,KOR,0.012908746299200989
GBR,MEX,0.005636622695323055
GBR,MYS,0.007414886411289777
GBR,NLD,0.08322290575322354
GBR,POL,0.020188110633034
GBR,RUS,0.019100117134179646
GBR,SAU,0.0038182154205629844
GBR,SWE,0.020633402493171676
GBR,THA,0.008508793303507024
GBR,TUR,0.01968038814020829
GBR,USA,0.12882051376077677
GBR,VNM,0.00815051400333937
GBR,ZAF,0.01900172229191641
IDN,ARE,0.010252697906980298
IDN,ARG,0.009353594420989913
IDN,AUS,0.052914678004500684
IDN,BEL,0.005694840731447762
IDN,BRA,0.016739239335107372
IDN,CAN,0.015191415902476428
IDN,CHE,0.006095696497275304
IDN,CHN,0.23809474362509103
IDN,DEU,0.033735403938214475
IDN,EGY,0.0013750619958718432
IDN,ESP,0.0044628147503172145
IDN,FRA,0.014459769616078979
IDN,GBR,0.011903465158787013
IDN,IND,0.031522659345370435
IDN,ITA,0.01233769874464405
IDN,JPN,0.1390743349936663
IDN,KOR,0.07032453849405516
IDN,MEX,0.0020192496852574756
IDN,MYS,0.06925521677423023
IDN,NLD,0.0087623929354844
IDN,POL,0.0010995947261839207
IDN,RUS,0.010355605258608354
IDN,SAU,0.04272373803668196
IDN,SWE,0.00771963510576336
IDN,THA,0.06806343939396574
IDN,TUR,0.004114478493674657
IDN,USA,0.08562782153309362
IDN,VNM,0.02077036672968411
IDN,ZAF,0.005955807866497894
IND,ARE,0.08143948845390846
IND,ARG,0.007536611229738102
IND,AUS,0.04184763907521254
IND,BEL,0.03977549736930696
IND,BRA,0.011734517409538252
IND,CAN,0.011806497233281818
IND,CHE,0.06767985043099257
IND,CHN,0.1719546578947928
IND,DEU,0.04817774768594208
IND,EGY,0.006038421500791589
IND,ESP,0.005495428687252535
IND,FRA,0.017480340261950996
IND,GBR,0.032934483892246194
IND,IDN,0.04243056593956051
IND,ITA,0.017228760206416314
IND,JPN,0.041349215714236436
IND,KOR,0.04351672262375379
IND,MEX,0.00756003547292145
IND,MYS,0.03226930581080477
IND,NLD,0.00968980157715447
IND,POL,0.0019511633910739316
IND,RUS,0.03234663127203488
IND,SAU,0.0698574209791065
IND,SWE,0.007703688922189103
IND,THA,0.017627908898330054
IND,TUR,0.004276037530827956
IND,USA,0.0912616171498461
IND,VNM,0.009233163457891472
IND,ZAF,0.027796779928897366
ITA,ARE,0.0031422186761831186
ITA,ARG,0.003904244165433964
ITA,AUS,0.00340679800527404
ITA,BEL,0.058556956497218926
ITA,BRA,0.012098923505531687
ITA,CAN,0.0061145930974700335
ITA,CHE,0.040363604887021294
ITA,CHN,0.08968578902694636
ITA,DEU,0.22009277105323696
ITA,EGY,0.006726033911420728
ITA,ESP,0.06603691366604139
ITA,FRA,0.12317928661197869
ITA,GBR,0.04148894610193589
ITA,IDN,0.0064332609895311945
ITA,IND,0.014653530381909528
ITA,JPN,0.01676462662624038
ITA,KOR,0.012095997041231035
ITA,MEX,0.002742310912941857
ITA,MYS,0.00338528682533671
ITA,NLD,0.07773920109744256
ITA,POL,0.026568922258768453
ITA,RUS,0.04294593358683848
ITA,SAU,0.014306683236647204
ITA,SWE,0.014618410987084067
ITA,THA,0.004901944893093225
ITA,TUR,0.022621818301743826
ITA,USA,0.05179641610654319
ITA,VNM,0.00639037560407707
ITA,ZAF,0.007238201944878129
JPN,ARE,0.052841497861256324
JPN,ARG,0.0013812413333758203
JPN,AUS,0.0717213413340073
JPN,BEL,0.005193026918199664
JPN,BRA,0.013599671530787292
JPN,CAN,0.021066749769992975
JPN,CHE,0.01226780938253949
JPN,CHN,0.2665530449759588
JPN,DEU,0.03906169949718882
JPN,EGY,0.0006368185063414715
JPN,ESP,0.005640870209413644
JPN,FRA,0.019186012715668894
JPN,GBR,0.013778795816337914
JPN,IDN,0.04359900208718375
JPN,IND,0.009070974609044291
JPN,ITA,0.01680857518740333
JPN,KOR,0.05360487532610881
JPN,MEX,0.00782268872132018
JPN,MYS,0.037485369879547786
JPN,NLD,0.005924194990294229
JPN,POL,0.0012683292019567327
JPN,RUS,0.020849226918530365
JPN,SAU,0.05537395957392976
JPN,SWE,0.00488047455782546
JPN,THA,0.038002088864728195
JPN,TUR,0.001003824172694852
JPN,USA,0.146109028693398
JPN,VNM,0.024015207385123586
JPN,ZAF,0.011253599979842262
KOR,ARE,0.03462140885754479
KOR,ARG,0.002523675636554897
KOR,AUS,0.05367758151373004
KOR,BEL,0.004193122966214479
KOR,BRA,0.012120564736480934
KOR,CAN,0.013385483080819093
KOR,CHE,0.00695484613869483
KOR,CHN,0.22248073758335146
KOR,DEU,0.04716161200788987
KOR,EGY,0.001436345845451024
KOR,ESP,0.004289341074331676
KOR,FRA,0.015342910694528707
KOR,GBR,0.0142954792771516
KOR,IDN,0.03168852614753401
KOR,IND,0.013725721357283624
KOR,ITA,0.014647060151436759
KOR,JPN,0.16756019734217345
KOR,MEX,0.00822865322551781
KOR,MYS,0.028081603001857747
KOR,NLD,0.012644424437991615
KOR,POL,0.0013633191210820786
KOR,RUS,0.025261398391751184
KOR,SAU,0.07089784077863667
KOR,SWE,0.004339315317966026
KOR,THA,0.013509290629573924
KOR,TUR,0.0018021553067406422
KOR,USA,0.14331885632035307
KOR,VNM,0.024908668112048074
KOR,ZAF,0.005539860945309966
MEX,ARE,0.0005963289322629445
MEX,ARG,0.0034516784263135423
MEX,AUS,0.0019797374174956553
MEX,BEL,0.0030584873637016343
MEX,BRA,0.017335217675946455
MEX,CAN,0.027265388451401053
MEX,CHE,0.004718876189806986
MEX,CHN,0.15109976384902438
MEX,DEU,0.03937908669928672
MEX,EGY,0.000279066327161171
MEX,ESP,0.012600593257243175
MEX,FRA,0.01059662577249789
MEX,GBR,0.006828259879288264
MEX,IDN,0.0038603380060112423
MEX,IND,0.008686996596443324
MEX,ITA,0.015391213547296272
MEX,JPN,0.048342149590650786
MEX,KOR,0.038156722340693165
MEX,MYS,0.01976753416244672
MEX,NLD,0.006738456417065899
MEX,POL,0.002257226209835712
MEX,RUS,0.002946014528560472
MEX,SAU,0.0009751720508886323
MEX,SWE,0.0034438506901137865
MEX,THA,0.011347699061584067
MEX,TUR,0.0017276041481221046
MEX,USA,0.5470218234365385
MEX,VNM,0.00893860402542084
MEX,ZAF,0.001209484946898644
MYS,ARE,0.018246421337579144
MYS,ARG,0.007174188652100725
MYS,AUS,0.03121668843684344
MYS,BEL,0.004997192990258404
MYS,BRA,0.010617359525838739
MYS,CAN,0.006050817854314785
MYS,CHE,0.01263441362798533
MYS,CHN,0.21439194917648668
MYS,DEU,0.04829764424771995
MYS,EGY,0.0008201376207691853
MYS,ESP,0.0033939976323992494
MYS,FRA,0.019059516354048685
MYS,GBR,0.01647339777894536
MYS,IDN,0.061208184682716285
MYS,IND,0.026328526113894198
MYS,ITA,0.011441411823881366
MYS,JPN,0.15053034634040763
MYS,KOR,0.06533441933262286
MYS,MEX,0.0029392961263998898
MYS,NLD,0.010103114792849161
MYS,POL,0.0012331812256050308
MYS,RUS,0.005722408297904527
MYS,SAU,0.020864626529722156
MYS,SWE,0.005249547299343548
MYS,THA,0.0706916683492668
MYS,TUR,0.0019337135385094793
MYS,USA,0.14380209374515368
MYS,VNM,0.02462568797311688
MYS,ZAF,0.004618048593316852
NLD,ARE,0.002863767882494645
NLD,ARG,0.0043259150465832985
NLD,AUS,0.0033684388504947945
NLD,BEL,0.12792770208858534
NLD,BRA,0.015215566524309214
NLD,CAN,0.006013070613402458
NLD,CHE,0.009621967203365733
NLD,CHN,0.10101979553413071
NLD,DEU,0.226721256802317
NLD,EGY,0.0013582632126892024
NLD,ESP,0.024528257069692735
NLD,FRA,0.056858310984578005
NLD,GBR,0.08012150572894321
NLD,IDN,0.007963437605462592
NLD,IND,0.009969615687450679
NLD,ITA,0.03161821617676918
NLD,JPN,0.029354708484749675
NLD,KOR,0.010555049597095743
NLD,MEX,0.004157120808354856
NLD,MYS,0.01906944943671258
NLD,POL,0.01944500982419436
NLD,RUS,0.039363124094020235
NLD,SAU,0.010279011798363666
NLD,SWE,0.021483516939458838
NLD,THA,0.00980538843068202
NLD,TUR,0.008519924733997616
NLD,USA,0.10468880904039878
NLD,VNM,0.008840641430888018
NLD,ZAF,0.004943158369814799
POL,ARE,0.0008389513046727818
POL,ARG,0.003988286798242329
POL,AUS,0.0016847990467438038
POL,BEL,0.031183539753220083
POL,BRA,0.007131806972154651
POL,CAN,0.0031033609099771734
POL,CHE,0.011798805445307214
POL,CHN,0.1254079317559577
POL,DEU,0.28999680516652604
